algorithm,n,run,time_s
ijk,64,1,0.0005959
ijk,64,2,0.0006451
ijk,64,3,0.0006243
ijk,128,1,0.005558
ijk,128,2,0.0050912
ijk,128,3,0.00543
ijk,192,1,0.0194547
ijk,192,2,0.0221656
ijk,192,3,0.0224019
ikj,64,1,0.0002337
ikj,64,2,0.0006815
ikj,64,3,0.0002565
ikj,128,1,0.0023322
ikj,128,2,0.0028083
ikj,128,3,0.0030667
ikj,192,1,0.0079894
ikj,192,2,0.0063956
ikj,192,3,0.0088636
blocked,64,1,0.0004111
blocked,64,2,0.0003087
blocked,64,3,0.0003034
blocked,128,1,0.0024494
blocked,128,2,0.0034278
blocked,128,3,0.0039607
blocked,192,1,0.0109729
blocked,192,2,0.0118084
blocked,192,3,0.012809
