language,algorithm,n,block,run,time_s
java,ijk,64,,1,0.0024129
java,ijk,64,,2,0.0016067
java,ijk,64,,3,9.83E-4
java,ijk,64,,4,8.301E-4
java,ijk,64,,5,9.33E-4
java,ijk,128,,1,0.0034481
java,ijk,128,,2,0.0036241
java,ijk,128,,3,0.0037845
java,ijk,128,,4,0.0037349
java,ijk,128,,5,0.0040471
java,ijk,192,,1,0.0178586
java,ijk,192,,2,0.0206309
java,ijk,192,,3,0.0181821
java,ijk,192,,4,0.0184589
java,ijk,192,,5,0.0178005
java,ikj,64,,1,0.0020946
java,ikj,64,,2,0.0025326
java,ikj,64,,3,0.0026275
java,ikj,64,,4,0.0027136
java,ikj,64,,5,0.0026342
java,ikj,128,,1,0.0020058
java,ikj,128,,2,0.00169
java,ikj,128,,3,0.0015534
java,ikj,128,,4,0.0014118
java,ikj,128,,5,0.001575
java,ikj,192,,1,0.0036757
java,ikj,192,,2,0.0054776
java,ikj,192,,3,0.0042331
java,ikj,192,,4,0.0047364
java,ikj,192,,5,0.0063029
java,blocked,64,64,1,0.0032951
java,blocked,64,64,2,0.0029819
java,blocked,64,64,3,0.0023413
java,blocked,64,64,4,0.0022704
java,blocked,64,64,5,0.0023168
java,blocked,128,64,1,0.0022713
java,blocked,128,64,2,0.001654
java,blocked,128,64,3,0.0016582
java,blocked,128,64,4,0.0017129
java,blocked,128,64,5,0.0017309
java,blocked,192,64,1,0.0060166
java,blocked,192,64,2,0.0058848
java,blocked,192,64,3,0.0072426
java,blocked,192,64,4,0.0078164
java,blocked,192,64,5,0.0046773
