algo,n,run,time_s
naive_ikj,64,1,0.0179984999995213
naive_ikj,64,2,0.01782140000432264
naive_ikj,64,3,0.017877800004498567
naive_ikj,64,4,0.018047999998088926
naive_ikj,64,5,0.01783620000060182
naive_ikj,128,1,0.13307910000003176
naive_ikj,128,2,0.13605770000140183
naive_ikj,128,3,0.13266619999922113
naive_ikj,128,4,0.13348409999889554
naive_ikj,128,5,0.1329794999983278
naive_ikj,192,1,0.5041793000054895
naive_ikj,192,2,0.4918260000049486
naive_ikj,192,3,0.4682509999984177
naive_ikj,192,4,0.5746192000005976
naive_ikj,192,5,0.5489787999977125
